Course Name,Category
AWS Certified Solutions Architect - Associate,Cloud
Python for Data Science and Machine Learning,AI & Data Science
Full Stack Web Development with React,API & App dev
Ethical Hacking and Penetration Testing,Cybersecurity
Introduction to Kubernetes,Infrastructure
Introduction to Agile Project Management,Agile and DevOps
Core Banking Systems Overview,Banking Domain
Microsoft Azure Fundamentals,Cloud
Data Science with R,AI & Data Science
JavaScript for Web Developers,API & App dev
Cloud Security Best Practices,Cybersecurity
Network Infrastructure Design,Infrastructure
DevOps Essentials,Agile and DevOps
Risk Management in Banking,Banking Domain
Google Cloud Platform Fundamentals,Cloud
Deep Learning with TensorFlow,AI & Data Science
API Design with Flask,API & App dev
Cybersecurity Risk Management,Cybersecurity
Cloud Infrastructure with Microsoft Azure,Infrastructure
Agile and Scrum Foundations,Agile and DevOps
Introduction to Financial Services and Banking,Banking Domain
AWS Cloud Practitioner,Cloud
Machine Learning Algorithms with Python,AI & Data Science
Building APIs with Node.js,API & App dev
Cybersecurity for Business Professionals,Cybersecurity
IT Infrastructure for Cloud Computing,Infrastructure
Advanced DevOps Practices,Agile and DevOps
Introduction to Banking Products and Services,Banking Domain
Google Cloud Security Fundamentals,Cloud
AI for Data Science and Business Analytics,AI & Data Science
Mobile App Development with React Native,API & App dev
Information Security Management,Cybersecurity
Cloud Computing with Amazon Web Services (AWS),Infrastructure
Advanced Scrum Mastery,Agile and DevOps
Fintech: Digital Banking Innovations,Banking Domain
Cloud Architecture for Beginners,Cloud
Deep Learning for Computer Vision,AI & Data Science
RESTful API Development with Flask,API & App dev
Security Operations and Incident Response,Cybersecurity
Virtualization and Cloud Computing,Infrastructure
Agile Project Management for Software Development,Agile and DevOps
Banking Software Development and Integration,Banking Domain
Microsoft Azure DevOps Essentials,Cloud
Predictive Analytics for Business,AI & Data Science
Android App Development with Kotlin,API & App dev
Cybersecurity Fundamentals for Beginners,Cybersecurity
Cloud-Based IT Infrastructure Management,Infrastructure
DevOps Automation with Jenkins,Agile and DevOps
Introduction to Investment Banking,Banking Domain
AWS Cloud Practitioner,Cloud
Introduction to Deep Learning,AI & Data Science
Building APIs with Express.js,API & App dev
Advanced Ethical Hacking Techniques,Cybersecurity
Cloud Computing Architecture,Infrastructure
Introduction to DevOps and CI/CD,Agile and DevOps
Understanding the Banking Ecosystem,Banking Domain
Google Cloud Certified - Associate Cloud Engineer,Cloud
Natural Language Processing with Python,AI & Data Science
API Development with Django,API & App dev
Cybersecurity Incident Handling,Cybersecurity
Managing IT Infrastructure in the Cloud,Infrastructure
DevOps with Kubernetes,Agile and DevOps
Introduction to Retail Banking,Banking Domain
AWS Certified Developer - Associate,Cloud
AI and Machine Learning for Beginners,AI & Data Science
Developing APIs with Python,API & App dev
Ethical Hacking Essentials,Cybersecurity
Cloud Infrastructure Architecture,Infrastructure
Agile and Scrum Master Certification,Agile and DevOps
Overview of Investment Banking,Banking Domain
Cloud Engineering with Google Cloud,Cloud
Data Science and Machine Learning with Python,AI & Data Science
Introduction to API Development with Flask,API & App dev
Information Assurance and Cybersecurity,Cybersecurity
Cloud Networking Essentials,Infrastructure
Advanced DevOps Techniques,Agile and DevOps
Fintech: Disruptive Innovations in Banking,Banking Domain
Microsoft Azure for Cloud Solutions,Cloud
Introduction to Machine Learning Algorithms,AI & Data Science
Developing REST APIs with Node.js,API & App dev
Securing Cloud Infrastructures,Cybersecurity
Data Center Virtualization,Infrastructure
Agile Development with Scrum,Agile and DevOps
